2020/08/06 04:56:07 [error] 28#28: *278 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:34 [error] 28#28: *278 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:34 [error] 28#28: *274 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 04:56:34 [error] 28#28: *274 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:01:56 [error] 28#28: *280 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:01:56 [error] 28#28: *279 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:01:56 [error] 28#28: *279 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:12 [error] 28#28: *279 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:12 [error] 28#28: *280 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:12 [error] 28#28: *280 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:48 [error] 28#28: *280 open() "/var/www/frontend/js/popper.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/popper.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:48 [error] 28#28: *280 open() "/var/www/frontend/css/bootstrap.min.css.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /css/bootstrap.min.css.map HTTP/1.1", host: "127.0.0.1:8000"
2020/08/06 05:04:48 [error] 28#28: *280 open() "/var/www/frontend/js/bootstrap.min.js.map" failed (2: No such file or directory), client: 172.27.0.1, server: frontend, request: "GET /js/bootstrap.min.js.map HTTP/1.1", host: "127.0.0.1:8000"
